COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District,MBLR
small_yellow,184,6,1535 LEAVENWORTH ST,"1535 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0184006
small_yellow,185,3,1551 HYDE ST,"1551 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0185003
small_yellow,183,9,1230 JACKSON ST,"1230 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0183009
small_yellow,1158,14,1836 MCALLISTER ST,"1836 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1158014
small_yellow,183,20,1520 LEAVENWORTH ST,"1520 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0183020
small_yellow,1166,25,222 WILLARD ST,"222 WILLARD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1166025
small_yellow,186,19,1481 JACKSON ST,"1481 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0186019
small_yellow,1178,26,1733 MCALLISTER ST,"1733 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1178026
small_red,1736,41,1280 15TH AV,"1280 15TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1736041
small_yellow,187,3,1445 LEAVENWORTH ST,"1445 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0187003
small_yellow,1180,1,841 SCOTT ST,"841 SCOTT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1180001
small_yellow,1169,11,2390 FULTON ST,"2390 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1169011
small_yellow,186,3,1449 HYDE ST,"1449 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0186003
small_yellow,1170,35,2288 FULTON ST,"2288 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1170035
small_red,1741,52,1234 10TH AV,"1234 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1741052
small_yellow,189,7,1230 WASHINGTON ST,"1230 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0189007
small_yellow,1184,1,561 BAKER ST,"561 BAKER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1184001
small_red,1741,53,1212 10TH AV,"1212 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1741053
small_yellow,189,4,1315 TAYLOR ST,"1315 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0189004
small_red,1738,1,1201 12TH AV,"1201 12TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1738001
small_yellow,188,7,1340 WASHINGTON ST,"1340 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0188007
small_yellow,1181,16,738 DIVISADERO ST,"738 DIVISADERO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1181016
