mblr,FREQ,SF_BldgFoot_201705_SoftStory_20181004_Soft Sto_3
SF2854006,2,120 GARDENSIDE DR
SF2752034,2,4221 20TH ST
SF2745037,2,646 CORBETT AV
SF6577032,2,3763 CESAR CHAVEZ ST
SF1173001G,2,1880 FULTON ST
SF0159001,2,1351 POWELL ST
SF1200013B,2,430 BAKER ST
SF0505015,2,1671 LOMBARD ST
SF1447049,2,5140 GEARY BL
SF1013010,2,3848 SACRAMENTO ST
SF0852020,2,241 PAGE ST
SF0561035,2,2520 BROADWAY
SF4265026,4,1200 POTRERO AV
SF3775039,2,45 SOUTH PARK
SF1151006,2,821 BAKER ST
SF3597052,2,140 LINDA ST
SF1435001,2,201 CLEMENT ST
SF3614073,2,1025 SOUTH VAN NESS AV
SF0087018,2,459 GREENWICH ST
SF6656019,3,84 CHENERY ST
SF1238032,2,941 PAGE ST
SF2799048,2,545 BURNETT AV
SF1453001,2,2011 CLEMENT ST
SF1544005,2,617 ARGUELLO BL
SF2854005,2,130 GARDENSIDE DR
SF0223016,2,1 DAWSON PL
SF1386007,2,239 26TH AV
SF3638041,2,840 SHOTWELL ST
SF7515A001,6,5070A DIAMOND HEIGHTS BL
SF7555101,24,305 ARBOR ST
SF1245002,2,625 ASHBURY ST
SF0952021,2,2585 UNION ST
SF0592004A,2,1900 JACKSON ST
SF0528019,2,1645 FILBERT ST
SF1254005,2,721 ASHBURY ST
SF1896020,4,1691 47TH AV
SF3608043,2,30 LIBERTY ST
SF0105051,2,100 ALTA ST
SF3779087,2,55 BOARDMAN PL
SF1250022,3,772 STANYAN ST
SF0639017,2,2171 SACRAMENTO ST
SF0931016,2,2574 CHESTNUT ST
SF0820004,4,618 FELL ST
SF3567005,2,438 GUERRERO ST
SF2755026,2,725 CORBETT AV
SF7546102,73,105 ADDISON ST
SF1226015,2,1868 PAGE ST
SF1180034,2,1543 MCALLISTER ST
SF1547033,2,570 05TH AV
SF1803001A,2,1306 LA PLAYA
SF0473019,2,1235 BAY ST
SF0052022,2,2252 MASON ST
SF0518037,2,1990 FILBET ST
SF3534095,2,277 CLINTON PK
SF1778021,2,1832 JUDAH ST
SF3637001,2,3111 22ND ST
SF7504A019,5,10 AMBER DR
SF1170035,2,2288 FULTON ST
SF0115020,2,1434 GRANT AV
SF6631001,3,1604 SANCHEZ ST
SF1365011,2,191 05TH AV
SF6508006,2,216 JERSEY ST
SF1536014,2,1700 ANZA ST
SF0551015,2,2420 FRANKLIN ST
SF2830025,2,4288 24TH ST
SF3631027,2,937 DOLORES ST
SF0528007,2,1658 UNION ST
SF3638042,2,846 SHOTWELL ST
SF3602066,2,661 CASTRO ST
SF7539022,5,5407 DIAMOND HEIGHTS BL
SF0133038,2,359 GREEN ST
SF0417B017,2,233 CERVANTES BL
SF0248026,2,1441 SACRAMENTO ST
SF0526015,2,1454 UNION ST
SF2854003,2,150 GARDENSIDE DR
SF1853014,2,1560 08TH AV
SF1386023,2,278 27TH AV
SF3544023,2,59 LANDERS ST
SF1151019,2,1980 GOLDEN GATE AV
SF3568019,2,157 ALBION ST
SF2647018,2,73 COLLINGWOOD ST
