COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_yellow,0184,006,1535 LEAVENWORTH ST,"1535 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0185,003,1551 HYDE ST,"1551 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0183,009,1230 JACKSON ST,"1230 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1158,014,1836 MCALLISTER ST,"1836 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0183,020,1520 LEAVENWORTH ST,"1520 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1166,025,222 WILLARD ST,"222 WILLARD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0186,019,1481 JACKSON ST,"1481 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1178,026,1733 MCALLISTER ST,"1733 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_red,1736,041,1280 15TH AV,"1280 15TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0187,003,1445 LEAVENWORTH ST,"1445 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1180,001,841 SCOTT ST,"841 SCOTT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1169,011,2390 FULTON ST,"2390 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0186,003,1449 HYDE ST,"1449 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1170,035,2288 FULTON ST,"2288 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_red,1741,052,1234 10TH AV,"1234 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0189,007,1230 WASHINGTON ST,"1230 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1184,001,561 BAKER ST,"561 BAKER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_red,1741,053,1212 10TH AV,"1212 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0189,004,1315 TAYLOR ST,"1315 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1738,001,1201 12TH AV,"1201 12TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0188,007,1340 WASHINGTON ST,"1340 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1181,016,738 DIVISADERO ST,"738 DIVISADERO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_red,1739,052,1247 11TH AV,"1247 11TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0189,019B,1149 JACKSON ST,"1149 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1181,012,1240 GROVE ST,"1240 GROVE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1169,005,2344 FULTON ST,"2344 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_red,1763,019B,1391 08TH AV,"1391 08TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0212,027,1085 WASHINGTON ST,"1085 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1764,046,1332 10TH AV,"1332 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_red,1759,019,700 PARNASSUS AV,"700 PARNASSUS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0189,006,1224 WASHINGTON ST,"1224 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1759,024,740 PARNASSUS AV,"740 PARNASSUS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0212,028,1067 WASHINGTON ST,"1067 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1765,014,1379 10TH AV,"1379 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_red,1769,048,1301 14TH AV,"1301 14TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0213,019,1242 TAYLOR ST,"1242 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1806,045,4350 KIRKHAM ST,"4350 KIRKHAM ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_yellow,0214,005A,1219 TAYLOR ST,"1219 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0212,026,1142 MASON ST,"1142 MASON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0212,030,1055 WASHINGTON ST,"1055 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1865,012,1300 LAWTON ST,"1300 LAWTON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_yellow,0216,026,1447 WASHINGTON ST,"1447 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2062,029,1835 NORIEGA ST,"1835 NORIEGA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_yellow,0216,004,1323 LEAVENWORTH ST.,"1323 LEAVENWORTH ST.,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1843,049,1401 10TH AV,"1401 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",7
small_yellow,0214,007,1216 CLAY ST,"1216 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1846,016,1467 07TH AV,"1467 07TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0214,014,1342 JONES ST,"1342 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0152,026,1748 HYDE ST,"1748 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1089,023,140 COOK ST,"140 COOK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0152,023,1730 HYDE ST,"1730 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1092,024,146 WOOD ST,"146 WOOD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0150,047,1700 JONES ST,"1700 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1086,033,291 PARKER AV,"291 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0150,035,1 FLORENCE ST,"1 FLORENCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1086,036,275 PARKER AV,"275 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0153,006,1735 HYDE ST,"1735 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0153,011,1705 HYDE ST,"1705 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
